codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
81,5873,Quimilí,Santiago del Estero,I,Vernon Gang,20302517714,Comercial Sur,Calle Belgrano N° 166,LU,29-9585615,2023-11-05,2025-05-04,-31.027205,-63.521138,CEX,1404.63,GROCERY,3
91,4421,Corrientes,Corrientes,A,Terrence Jacko,30070311823,Comercial Sur,Diagonal Tucumán N° 943,MI,37-0969347,2024-10-19,2025-05-04,-30.077367,-58.186447,CEX,0.0,RESTAURANTE,3
89,6934,San Francisco,Córdoba,A,Scott Schulte,20300970890,Distribuidora Central,Calle 8 N° 34,MI,37-2971745,2024-01-07,2025-05-04,-53.738142,-67.334179,CEX,0.0,HOTEL,3
83,3421,Perito Moreno,Santa Cruz,A,Leeanna Holmes,20587416133,Comercial Oeste,Blv. Chubut N° 797,SA,26-6459007,2023-11-24,2025-05-04,-31.935304,-63.88677,CEX,0.0,KIOSK,3
77,4430,Puerto Deseado,Santa Cruz,A,Douglas Warren,20287983929,Distribuidora Sur,Calle 9 N° 795,MA,38-6467572,2024-02-26,2025-05-04,-33.286389,-68.173605,EFE,0.0,RESTAURANTE,3
84,9443,Río Grande,Tierra del Fuego,A,Betty Silverstein,27957086486,Distribuidora Norte,Avenida La Rioja N° 271,LU,38-5044841,2024-08-06,2025-05-04,-28.286345,-57.448198,CEX,0.0,KIOSK,3
80,1697,San Martín de los Andes,Neuquén,A,Peggy Lorraine,34644960571,Comercial Este,Avenida Belgrano N° 703,JU,29-5760870,2025-01-23,2025-05-04,-53.901163,-67.112845,EFE,0.0,GROCERY,3
93,3363,Mercedes,Corrientes,A,Carolina Wright,33931735657,Comercial Este,Avenida Neuquén N° 63,JU,34-3238844,2024-09-23,2025-05-04,-25.140984,-54.974216,EFE,1234.73,TEA,3
92,1972,Villa Regina,Río Negro,A,Pedro Adkins,23539885796,Almacén Oeste,Calle 1 N° 379,MI,38-0595279,2024-12-26,2025-05-04,-38.642127,-70.025221,CEX,0.0,HORECA,3
92,5798,Famatina,La Rioja,A,Gary Griffith,23686287840,Comercial Central,Calle J.J. Castelli N° 179,MA,29-0335083,2024-04-25,2025-05-04,-30.145951,-59.558033,EFE,0.0,RECREATIONAL,3
