codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
78,7258,Rawson,Chubut,A,Vernon Gang,20302517714,Comercial Sur,Calle Belgrano N° 166,SA,29-9585615,2023-11-05,2025-05-26,-31.027205,-63.521138,CEX,0.0,GROCERY,3
87,7560,Nueva Galia,San Luis,A,Terrence Jacko,30070311823,Comercial Sur,Diagonal Tucumán N° 943,MA,37-0969347,2024-10-19,2025-05-26,-30.077367,-58.186447,EFE,2059.95,RESTAURANTE,3
95,2247,San Rafael,Mendoza,I,Scott Schulte,20300970890,Distribuidora Central,Calle 8 N° 34,DO,37-2971745,2024-01-07,2025-05-26,-53.738142,-67.334179,EFE,0.0,HOTEL,3
99,6812,Ushuaia,Tierra del Fuego,I,Leeanna Holmes,20587416133,Comercial Oeste,Blv. Chubut N° 797,LU,26-6459007,2023-11-24,2025-05-26,-31.935304,-63.88677,EFE,9095.81,KIOSK,3
76,7788,San Salvador de Jujuy,Jujuy,A,Douglas Warren,20287983929,Distribuidora Sur,Calle 9 N° 795,JU,38-6467572,2024-02-26,2025-05-26,-33.286389,-68.173605,EFE,0.0,RESTAURANTE,3
94,6721,Tolhuin,Tierra del Fuego,A,Betty Silverstein,27957086486,Distribuidora Norte,Avenida La Rioja N° 271,MA,38-5044841,2024-08-06,2025-05-26,-28.286345,-57.448198,EFE,0.0,KIOSK,3
87,6444,Villa Regina,Río Negro,A,Peggy Lorraine,34644960571,Comercial Este,Avenida Belgrano N° 703,VI,29-5760870,2025-01-23,2025-05-26,-53.901163,-67.112845,EFE,4496.14,GROCERY,3
87,9697,Posadas,Misiones,I,Carolina Wright,33931735657,Comercial Este,Avenida Neuquén N° 63,MA,34-3238844,2024-09-23,2025-05-26,-25.140984,-54.974216,EFE,6804.18,TEA,3
97,2196,Chepes,La Rioja,A,Pedro Adkins,23539885796,Almacén Oeste,Calle 1 N° 379,SA,38-0595279,2024-12-26,2025-05-26,-38.642127,-70.025221,CEX,5585.03,HORECA,3
92,5584,Villa La Angostura,Neuquén,A,Gary Griffith,23686287840,Comercial Central,Calle J.J. Castelli N° 179,SA,29-0335083,2024-04-25,2025-05-26,-30.145951,-59.558033,CEX,0.0,RECREATIONAL,3
