codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
102,4248,Apostoles,Misiones,A,Daniella Halas,30465532098,Almacén Sur,Avenida Rawson N° 6740,DO,29-2385856,2023-12-05,2025-05-26,-30.557701,-66.61774,EFE,0.0,SHOPPING,4
117,5953,La Rioja,La Rioja,A,Tommy Easterly,26531852596,Distribuidora Oeste,Blv. Alvear N° 668,MA,29-5004481,2024-03-04,2025-05-26,-42.501896,-69.27095,EFE,7381.92,HORECA,4
125,4762,Las Lomitas,Formosa,I,Cynthia Marshall,26484416205,Comercial Oeste,Avenida Río Gallegos N° 67,LU,36-9306503,2024-03-06,2025-05-26,-33.784634,-66.481973,EFE,2841.09,AIRPORT,4
119,6366,Viedma,Río Negro,A,Bong Testani,33618425953,Almacén Oeste,Diagonal Posadas N° 891,JU,29-7629384,2025-05-14,2025-05-26,-44.996329,-69.922706,EFE,0.0,PETROL,4
113,7809,Banda del Río Salí,Tucumán,I,Susan Steiger,25205542085,Almacén Este,Diagonal 5 N° 9299,JU,17-3918506,2025-05-23,2025-05-26,-44.531089,-67.991183,CEX,0.0,HORECA,4
110,9679,Santa Rosa,Catamarca,A,Marguerite Fuhr,20807562383,Almacén Sur,Calle J.B. Alberdi N° 46,VI,38-3810704,2024-09-02,2025-05-26,-26.745353,-65.286984,EFE,3577.64,HORECA,4
107,7446,Esquina,Corrientes,A,David Platt,20993961821,Almacén Oeste,Camino J.B. Alberdi N° 722,JU,34-0212631,2023-06-13,2025-05-26,-53.939787,-67.050701,CEX,0.0,AIRPORT,4
123,4257,Oberá,Misiones,A,Samantha Long,34671047998,Comercial Este,Avenida 5 N° 648,MI,37-1108217,2024-04-13,2025-05-26,-44.137927,-69.846301,CEX,0.0,PETROL,4
106,4683,9 de Julio,San Juan,A,Kenneth Wheatley,24327018522,Almacén Este,Calle Corrientes N° 14,VI,38-0119566,2025-02-18,2025-05-26,-26.20309,-65.664963,CEX,0.0,RECREATIONAL,4
117,4349,Comandante Fontana,Formosa,I,Carol Campbell,33095992522,Comercial Central,Avenida Catamarca N° 587,SA,26-7193830,2023-10-06,2025-05-26,-29.838616,-66.5526,CEX,8192.44,GROCERY,4
