codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
116,1802,Machagai,Chaco,A,Daniella Halas,30465532098,Almacén Sur,Avenida Rawson N° 6740,SA,29-2385856,2023-12-05,2025-04-22,-30.557701,-66.61774,EFE,6252.63,SHOPPING,4
124,5751,Fiambalá,Catamarca,A,Tommy Easterly,26531852596,Distribuidora Oeste,Blv. Alvear N° 668,DO,29-5004481,2024-03-04,2025-04-22,-42.501896,-69.27095,EFE,0.0,HORECA,4
124,2170,Mendoza,Mendoza,A,Cynthia Marshall,26484416205,Comercial Oeste,Avenida Río Gallegos N° 67,VI,36-9306503,2024-03-06,2025-04-22,-33.784634,-66.481973,CEX,0.0,AIRPORT,4
114,9111,Gobernador Gregores,Santa Cruz,A,Bong Testani,33618425953,Almacén Oeste,Diagonal Posadas N° 891,JU,29-7629384,2025-05-14,2025-04-22,-44.996329,-69.922706,EFE,0.0,PETROL,4
116,1793,Pocito,San Juan,A,Susan Steiger,25205542085,Almacén Este,Diagonal 5 N° 9299,VI,17-3918506,2025-05-23,2025-04-22,-44.531089,-67.991183,CEX,9052.41,HORECA,4
112,7658,Bariloche,Río Negro,A,Marguerite Fuhr,20807562383,Almacén Sur,Calle J.B. Alberdi N° 46,MA,38-3810704,2024-09-02,2025-04-22,-26.745353,-65.286984,CEX,3197.74,HORECA,4
123,8397,Valle Viejo,Catamarca,A,David Platt,20993961821,Almacén Oeste,Camino J.B. Alberdi N° 722,LU,34-0212631,2023-06-13,2025-04-22,-53.939787,-67.050701,EFE,3507.49,AIRPORT,4
114,4087,Rosario,Santa Fe,A,Samantha Long,34671047998,Comercial Este,Avenida 5 N° 648,LU,37-1108217,2024-04-13,2025-04-22,-44.137927,-69.846301,CEX,3265.32,PETROL,4
123,3190,Sarmiento,Chubut,I,Kenneth Wheatley,24327018522,Almacén Este,Calle Corrientes N° 14,LU,38-0119566,2025-02-18,2025-04-22,-26.20309,-65.664963,CEX,0.0,RECREATIONAL,4
108,7779,Santo Tomé,Santa Fe,A,Carol Campbell,33095992522,Comercial Central,Avenida Catamarca N° 587,VI,26-7193830,2023-10-06,2025-04-22,-29.838616,-66.5526,CEX,0.0,GROCERY,4
