codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
103,8163,Ushuaia,Tierra del Fuego,A,Daniella Halas,30465532098,Almacén Sur,Avenida Rawson N° 6740,SA,29-2385856,2023-12-05,2025-05-22,-30.557701,-66.61774,CEX,0.0,SHOPPING,4
114,2889,Clorinda,Formosa,A,Tommy Easterly,26531852596,Distribuidora Oeste,Blv. Alvear N° 668,SA,29-5004481,2024-03-04,2025-05-22,-42.501896,-69.27095,CEX,0.0,HORECA,4
121,6033,Aguilares,Tucumán,A,Cynthia Marshall,26484416205,Comercial Oeste,Avenida Río Gallegos N° 67,VI,36-9306503,2024-03-06,2025-05-22,-33.784634,-66.481973,CEX,0.0,AIRPORT,4
111,9127,Concepción,Tucumán,A,Bong Testani,33618425953,Almacén Oeste,Diagonal Posadas N° 891,SA,29-7629384,2025-05-14,2025-05-22,-44.996329,-69.922706,CEX,0.0,PETROL,4
114,4975,Guaymallén,Mendoza,I,Susan Steiger,25205542085,Almacén Este,Diagonal 5 N° 9299,LU,17-3918506,2025-05-23,2025-05-22,-44.531089,-67.991183,CEX,0.0,HORECA,4
123,5354,Pomán,Catamarca,A,Marguerite Fuhr,20807562383,Almacén Sur,Calle J.B. Alberdi N° 46,JU,38-3810704,2024-09-02,2025-05-22,-26.745353,-65.286984,CEX,5323.84,HORECA,4
124,8024,Machagai,Chaco,A,David Platt,20993961821,Almacén Oeste,Camino J.B. Alberdi N° 722,MI,34-0212631,2023-06-13,2025-05-22,-53.939787,-67.050701,EFE,7529.55,AIRPORT,4
105,6102,Puerto Rico,Misiones,A,Samantha Long,34671047998,Comercial Este,Avenida 5 N° 648,JU,37-1108217,2024-04-13,2025-05-22,-44.137927,-69.846301,CEX,0.0,PETROL,4
106,2286,Puerto Rico,Misiones,A,Kenneth Wheatley,24327018522,Almacén Este,Calle Corrientes N° 14,SA,38-0119566,2025-02-18,2025-05-22,-26.20309,-65.664963,EFE,0.0,RECREATIONAL,4
106,8000,Villa Gobernador Gálvez,Santa Fe,A,Carol Campbell,33095992522,Comercial Central,Avenida Catamarca N° 587,DO,26-7193830,2023-10-06,2025-05-22,-29.838616,-66.5526,CEX,0.0,GROCERY,4
