codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
104,4392,Diamante,Entre Ríos,A,Daniella Halas,30465532098,Almacén Sur,Avenida Rawson N° 6740,LU,29-2385856,2023-12-05,2025-06-05,-30.557701,-66.61774,EFE,0.0,SHOPPING,4
122,8976,San Martín,Mendoza,A,Tommy Easterly,26531852596,Distribuidora Oeste,Blv. Alvear N° 668,MI,29-5004481,2024-03-04,2025-06-05,-42.501896,-69.27095,EFE,8521.97,HORECA,4
112,4654,San Ramón de la Nueva Orán,Salta,A,Cynthia Marshall,26484416205,Comercial Oeste,Avenida Río Gallegos N° 67,VI,36-9306503,2024-03-06,2025-06-05,-33.784634,-66.481973,CEX,0.0,AIRPORT,4
101,6344,Río Turbio,Santa Cruz,I,Bong Testani,33618425953,Almacén Oeste,Diagonal Posadas N° 891,SA,29-7629384,2025-05-14,2025-06-05,-44.996329,-69.922706,EFE,0.0,PETROL,4
122,4505,Rosario,Santa Fe,A,Susan Steiger,25205542085,Almacén Este,Diagonal 5 N° 9299,MI,17-3918506,2025-05-23,2025-06-05,-44.531089,-67.991183,EFE,0.0,HORECA,4
116,1328,Santo Tomé,Santa Fe,I,Marguerite Fuhr,20807562383,Almacén Sur,Calle J.B. Alberdi N° 46,JU,38-3810704,2024-09-02,2025-06-05,-26.745353,-65.286984,EFE,8524.38,HORECA,4
119,9620,Trelew,Chubut,A,David Platt,20993961821,Almacén Oeste,Camino J.B. Alberdi N° 722,SA,34-0212631,2023-06-13,2025-06-05,-53.939787,-67.050701,EFE,2758.51,AIRPORT,4
104,8005,Villa Carlos Paz,Córdoba,I,Samantha Long,34671047998,Comercial Este,Avenida 5 N° 648,MA,37-1108217,2024-04-13,2025-06-05,-44.137927,-69.846301,CEX,2539.54,PETROL,4
114,3481,Villa La Angostura,Neuquén,I,Kenneth Wheatley,24327018522,Almacén Este,Calle Corrientes N° 14,MI,38-0119566,2025-02-18,2025-06-05,-26.20309,-65.664963,CEX,9799.81,RECREATIONAL,4
123,4415,San Martín,Mendoza,A,Carol Campbell,33095992522,Comercial Central,Avenida Catamarca N° 587,VI,26-7193830,2023-10-06,2025-06-05,-29.838616,-66.5526,EFE,0.0,GROCERY,4
