codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
111,2625,Concarán,San Luis,I,Daniella Halas,30465532098,Almacén Sur,Avenida Rawson N° 6740,MI,29-2385856,2023-12-05,2025-05-28,-30.557701,-66.61774,EFE,0.0,SHOPPING,4
125,8907,Rawson,Chubut,A,Tommy Easterly,26531852596,Distribuidora Oeste,Blv. Alvear N° 668,VI,29-5004481,2024-03-04,2025-05-28,-42.501896,-69.27095,EFE,0.0,HORECA,4
122,1329,Villa Mercedes,San Luis,I,Cynthia Marshall,26484416205,Comercial Oeste,Avenida Río Gallegos N° 67,VI,36-9306503,2024-03-06,2025-05-28,-33.784634,-66.481973,CEX,0.0,AIRPORT,4
113,9591,Arauco,La Rioja,I,Bong Testani,33618425953,Almacén Oeste,Diagonal Posadas N° 891,VI,29-7629384,2025-05-14,2025-05-28,-44.996329,-69.922706,EFE,5840.48,PETROL,4
103,3628,Pomán,Catamarca,A,Susan Steiger,25205542085,Almacén Este,Diagonal 5 N° 9299,VI,17-3918506,2025-05-23,2025-05-28,-44.531089,-67.991183,CEX,0.0,HORECA,4
109,6780,La Banda,Santiago del Estero,A,Marguerite Fuhr,20807562383,Almacén Sur,Calle J.B. Alberdi N° 46,LU,38-3810704,2024-09-02,2025-05-28,-26.745353,-65.286984,CEX,0.0,HORECA,4
103,5229,Las Heras,Mendoza,A,David Platt,20993961821,Almacén Oeste,Camino J.B. Alberdi N° 722,DO,34-0212631,2023-06-13,2025-05-28,-53.939787,-67.050701,CEX,0.0,AIRPORT,4
120,8532,Villa Unión,La Rioja,A,Samantha Long,34671047998,Comercial Este,Avenida 5 N° 648,LU,37-1108217,2024-04-13,2025-05-28,-44.137927,-69.846301,EFE,0.0,PETROL,4
120,4299,Neuquén,Neuquén,A,Kenneth Wheatley,24327018522,Almacén Este,Calle Corrientes N° 14,MA,38-0119566,2025-02-18,2025-05-28,-26.20309,-65.664963,EFE,0.0,RECREATIONAL,4
118,3779,Rosario,Santa Fe,A,Carol Campbell,33095992522,Comercial Central,Avenida Catamarca N° 587,LU,26-7193830,2023-10-06,2025-05-28,-29.838616,-66.5526,CEX,0.0,GROCERY,4
