codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
139,3182,Tandil,Buenos Aires,A,Ernesto Dean,30511773809,Comercial Oeste,Avenida La Rioja N° 71,LU,37-5574580,2023-10-01,2025-06-06,-30.349188,-68.998715,EFE,0.0,PETROL,5
129,9393,Cutral Có,Neuquén,A,Michael Herron,23442592667,Comercial Norte,Av. Río Negro N° 849,MI,29-1373714,2024-08-20,2025-06-06,-30.529062,-64.466177,CEX,2916.07,SHOPPING,5
148,2605,Formosa,Formosa,A,Robert Ward,26121578154,Comercial Este,Blv. San Luis N° 11,MI,29-0073723,2023-08-29,2025-06-06,-27.161004,-66.56949,EFE,4623.47,RESTAURANTE,5
139,6950,Bell Ville,Córdoba,I,Charles Wright,20864178103,Comercial Central,Diag. 3 N° 874,JU,38-2999362,2025-05-11,2025-06-06,-25.552832,-57.891868,EFE,0.0,HORECA,5
139,5018,Río Grande,Tierra del Fuego,I,Richard Jones,30979972764,Distribuidora Este,Diagonal Salta N° 813,MI,37-2481696,2024-01-08,2025-06-06,-33.750784,-60.098005,CEX,0.0,RESTAURANTE,5
131,6233,Ushuaia,Tierra del Fuego,A,Susan Stonge,33922324325,Distribuidora Sur,Diag. Santa Rosa N° 52,MA,37-3602659,2024-09-06,2025-06-06,-25.108451,-57.177796,EFE,1051.19,RECREATIONAL,5
142,9415,Bell Ville,Córdoba,I,Micheal Bartz,24814568370,Distribuidora Sur,Diag. G. Brown N° 757,MA,26-3587418,2024-06-02,2025-06-06,-30.447651,-64.183252,EFE,0.0,KIOSK,5
150,9058,Santa Lucía,San Juan,A,Alan Frank,30078424186,Comercial Oeste,Calle Salta N° 381,MA,38-4523266,2023-07-16,2025-06-06,-39.767298,-69.461492,CEX,6476.32,HORECA,5
135,8011,Gobernador Gregores,Santa Cruz,I,Katherine Ransom,20758925357,Almacén Sur,Diagonal 9 N° 75,MI,35-3449341,2023-07-26,2025-06-06,-32.215803,-63.015611,EFE,0.0,PETROL,5
132,3617,Ingeniero Huergo,Río Negro,A,Greg Nolan,30957955236,Distribuidora Central,Calle Santiago del Estero N° 425,LU,29-5129614,2023-10-03,2025-06-06,-30.381519,-59.49365,CEX,0.0,PETROL,5
