codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
138,7309,Puerto Iguazú,Misiones,A,Ernesto Dean,30511773809,Comercial Oeste,Avenida La Rioja N° 71,MI,37-5574580,2023-10-01,2025-05-10,-30.349188,-68.998715,CEX,4995.47,PETROL,5
145,6714,Bahía Blanca,Buenos Aires,A,Michael Herron,23442592667,Comercial Norte,Av. Río Negro N° 849,DO,29-1373714,2024-08-20,2025-05-10,-30.529062,-64.466177,CEX,7090.24,SHOPPING,5
126,3665,Santo Tomé,Santa Fe,A,Robert Ward,26121578154,Comercial Este,Blv. San Luis N° 11,MI,29-0073723,2023-08-29,2025-05-10,-27.161004,-66.56949,CEX,0.0,RESTAURANTE,5
142,9105,Reconquista,Santa Fe,I,Charles Wright,20864178103,Comercial Central,Diag. 3 N° 874,DO,38-2999362,2025-05-11,2025-05-10,-25.552832,-57.891868,EFE,2278.64,HORECA,5
136,6917,Tolhuin,Tierra del Fuego,A,Richard Jones,30979972764,Distribuidora Este,Diagonal Salta N° 813,SA,37-2481696,2024-01-08,2025-05-10,-33.750784,-60.098005,CEX,6852.07,RESTAURANTE,5
147,7042,Mendoza,Mendoza,A,Susan Stonge,33922324325,Distribuidora Sur,Diag. Santa Rosa N° 52,DO,37-3602659,2024-09-06,2025-05-10,-25.108451,-57.177796,CEX,0.0,RECREATIONAL,5
126,9137,Zárate,Buenos Aires,A,Micheal Bartz,24814568370,Distribuidora Sur,Diag. G. Brown N° 757,VI,26-3587418,2024-06-02,2025-05-10,-30.447651,-64.183252,EFE,2098.99,KIOSK,5
143,4188,Charata,Chaco,A,Alan Frank,30078424186,Comercial Oeste,Calle Salta N° 381,JU,38-4523266,2023-07-16,2025-05-10,-39.767298,-69.461492,EFE,0.0,HORECA,5
134,1604,Esquina,Corrientes,A,Katherine Ransom,20758925357,Almacén Sur,Diagonal 9 N° 75,MA,35-3449341,2023-07-26,2025-05-10,-32.215803,-63.015611,CEX,0.0,PETROL,5
147,9627,Chamical,La Rioja,I,Greg Nolan,30957955236,Distribuidora Central,Calle Santiago del Estero N° 425,LU,29-5129614,2023-10-03,2025-05-10,-30.381519,-59.49365,EFE,2878.59,PETROL,5
