codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
144,7360,San Martín de los Andes,Neuquén,A,Ernesto Dean,30511773809,Comercial Oeste,Avenida La Rioja N° 71,MA,37-5574580,2023-10-01,2025-04-22,-30.349188,-68.998715,EFE,0.0,PETROL,5
126,1919,Villa Constitución,Santa Fe,A,Michael Herron,23442592667,Comercial Norte,Av. Río Negro N° 849,SA,29-1373714,2024-08-20,2025-04-22,-30.529062,-64.466177,CEX,0.0,SHOPPING,5
144,9660,Puerto Iguazú,Misiones,A,Robert Ward,26121578154,Comercial Este,Blv. San Luis N° 11,LU,29-0073723,2023-08-29,2025-04-22,-27.161004,-66.56949,EFE,8268.94,RESTAURANTE,5
150,7473,La Caldera,Salta,A,Charles Wright,20864178103,Comercial Central,Diag. 3 N° 874,SA,38-2999362,2025-05-11,2025-04-22,-25.552832,-57.891868,EFE,3446.78,HORECA,5
144,8570,Chimbas,San Juan,A,Richard Jones,30979972764,Distribuidora Este,Diagonal Salta N° 813,DO,37-2481696,2024-01-08,2025-04-22,-33.750784,-60.098005,EFE,8728.34,RESTAURANTE,5
147,8573,Río Gallegos,Santa Cruz,A,Susan Stonge,33922324325,Distribuidora Sur,Diag. Santa Rosa N° 52,LU,37-3602659,2024-09-06,2025-04-22,-25.108451,-57.177796,EFE,0.0,RECREATIONAL,5
147,8788,Justo Daract,San Luis,A,Micheal Bartz,24814568370,Distribuidora Sur,Diag. G. Brown N° 757,VI,26-3587418,2024-06-02,2025-04-22,-30.447651,-64.183252,EFE,0.0,KIOSK,5
133,5885,Villa Regina,Río Negro,I,Alan Frank,30078424186,Comercial Oeste,Calle Salta N° 381,SA,38-4523266,2023-07-16,2025-04-22,-39.767298,-69.461492,EFE,1304.27,HORECA,5
129,7075,Santo Tomé,Corrientes,A,Katherine Ransom,20758925357,Almacén Sur,Diagonal 9 N° 75,SA,35-3449341,2023-07-26,2025-04-22,-32.215803,-63.015611,EFE,9710.98,PETROL,5
133,6449,Aluminé,Neuquén,A,Greg Nolan,30957955236,Distribuidora Central,Calle Santiago del Estero N° 425,MA,29-5129614,2023-10-03,2025-04-22,-30.381519,-59.49365,CEX,4418.83,PETROL,5
