codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
148,4844,Tunuyán,Mendoza,I,Ernesto Dean,30511773809,Comercial Oeste,Avenida La Rioja N° 71,VI,37-5574580,2023-10-01,2025-06-10,-30.349188,-68.998715,EFE,5727.85,PETROL,5
141,1456,Alta Gracia,Córdoba,I,Michael Herron,23442592667,Comercial Norte,Av. Río Negro N° 849,DO,29-1373714,2024-08-20,2025-06-10,-30.529062,-64.466177,EFE,0.0,SHOPPING,5
133,2937,Pocito,San Juan,A,Robert Ward,26121578154,Comercial Este,Blv. San Luis N° 11,MA,29-0073723,2023-08-29,2025-06-10,-27.161004,-66.56949,CEX,0.0,RESTAURANTE,5
148,1877,Cerrillos,Salta,A,Charles Wright,20864178103,Comercial Central,Diag. 3 N° 874,MA,38-2999362,2025-05-11,2025-06-10,-25.552832,-57.891868,EFE,0.0,HORECA,5
141,8065,Nogoyá,Entre Ríos,A,Richard Jones,30979972764,Distribuidora Este,Diagonal Salta N° 813,MA,37-2481696,2024-01-08,2025-06-10,-33.750784,-60.098005,CEX,0.0,RESTAURANTE,5
146,6673,Villa Mercedes,San Luis,A,Susan Stonge,33922324325,Distribuidora Sur,Diag. Santa Rosa N° 52,LU,37-3602659,2024-09-06,2025-06-10,-25.108451,-57.177796,CEX,0.0,RECREATIONAL,5
143,8948,Río Grande,Tierra del Fuego,A,Micheal Bartz,24814568370,Distribuidora Sur,Diag. G. Brown N° 757,VI,26-3587418,2024-06-02,2025-06-10,-30.447651,-64.183252,EFE,8791.78,KIOSK,5
136,2994,Trevelin,Chubut,I,Alan Frank,30078424186,Comercial Oeste,Calle Salta N° 381,MA,38-4523266,2023-07-16,2025-06-10,-39.767298,-69.461492,CEX,0.0,HORECA,5
126,5311,Chilecito,La Rioja,A,Katherine Ransom,20758925357,Almacén Sur,Diagonal 9 N° 75,DO,35-3449341,2023-07-26,2025-06-10,-32.215803,-63.015611,EFE,1345.57,PETROL,5
139,5608,Aimogasta,La Rioja,A,Greg Nolan,30957955236,Distribuidora Central,Calle Santiago del Estero N° 425,MI,29-5129614,2023-10-03,2025-06-10,-30.381519,-59.49365,CEX,0.0,PETROL,5
