codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
148,9840,Campo Quijano,Salta,A,Ernesto Dean,30511773809,Comercial Oeste,Avenida La Rioja N° 71,MI,37-5574580,2023-10-01,2025-04-29,-30.349188,-68.998715,EFE,0.0,PETROL,5
126,9168,Añatuya,Santiago del Estero,A,Michael Herron,23442592667,Comercial Norte,Av. Río Negro N° 849,MA,29-1373714,2024-08-20,2025-04-29,-30.529062,-64.466177,CEX,0.0,SHOPPING,5
129,4500,Ushuaia,Tierra del Fuego,A,Robert Ward,26121578154,Comercial Este,Blv. San Luis N° 11,MA,29-0073723,2023-08-29,2025-04-29,-27.161004,-66.56949,CEX,0.0,RESTAURANTE,5
142,1994,Aimogasta,La Rioja,A,Charles Wright,20864178103,Comercial Central,Diag. 3 N° 874,MI,38-2999362,2025-05-11,2025-04-29,-25.552832,-57.891868,EFE,9038.28,HORECA,5
141,5282,Ushuaia,Tierra del Fuego,A,Richard Jones,30979972764,Distribuidora Este,Diagonal Salta N° 813,JU,37-2481696,2024-01-08,2025-04-29,-33.750784,-60.098005,EFE,4167.39,RESTAURANTE,5
133,3505,Río Grande,Tierra del Fuego,I,Susan Stonge,33922324325,Distribuidora Sur,Diag. Santa Rosa N° 52,MI,37-3602659,2024-09-06,2025-04-29,-25.108451,-57.177796,EFE,0.0,RECREATIONAL,5
132,8935,Clodomira,Santiago del Estero,A,Micheal Bartz,24814568370,Distribuidora Sur,Diag. G. Brown N° 757,DO,26-3587418,2024-06-02,2025-04-29,-30.447651,-64.183252,CEX,0.0,KIOSK,5
143,5793,Yerba Buena,Tucumán,A,Alan Frank,30078424186,Comercial Oeste,Calle Salta N° 381,DO,38-4523266,2023-07-16,2025-04-29,-39.767298,-69.461492,EFE,0.0,HORECA,5
140,5021,Ushuaia,Tierra del Fuego,A,Katherine Ransom,20758925357,Almacén Sur,Diagonal 9 N° 75,MI,35-3449341,2023-07-26,2025-04-29,-32.215803,-63.015611,EFE,0.0,PETROL,5
136,6095,Tafí Viejo,Tucumán,A,Greg Nolan,30957955236,Distribuidora Central,Calle Santiago del Estero N° 425,MI,29-5129614,2023-10-03,2025-04-29,-30.381519,-59.49365,EFE,0.0,PETROL,5
