codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
149,5649,Las Heras,Mendoza,A,Ernesto Dean,30511773809,Comercial Oeste,Avenida La Rioja N° 71,JU,37-5574580,2023-10-01,2025-05-17,-30.349188,-68.998715,EFE,0.0,PETROL,5
146,2434,San Vicente,Misiones,A,Michael Herron,23442592667,Comercial Norte,Av. Río Negro N° 849,VI,29-1373714,2024-08-20,2025-05-17,-30.529062,-64.466177,EFE,0.0,SHOPPING,5
131,9105,Tunuyán,Mendoza,A,Robert Ward,26121578154,Comercial Este,Blv. San Luis N° 11,MI,29-0073723,2023-08-29,2025-05-17,-27.161004,-66.56949,EFE,3397.69,RESTAURANTE,5
135,5032,Chepes,La Rioja,I,Charles Wright,20864178103,Comercial Central,Diag. 3 N° 874,JU,38-2999362,2025-05-11,2025-05-17,-25.552832,-57.891868,CEX,0.0,HORECA,5
139,8533,Corrientes,Corrientes,A,Richard Jones,30979972764,Distribuidora Este,Diagonal Salta N° 813,VI,37-2481696,2024-01-08,2025-05-17,-33.750784,-60.098005,EFE,7955.42,RESTAURANTE,5
138,9984,Villa General Güemes,Formosa,A,Susan Stonge,33922324325,Distribuidora Sur,Diag. Santa Rosa N° 52,MA,37-3602659,2024-09-06,2025-05-17,-25.108451,-57.177796,EFE,4493.01,RECREATIONAL,5
131,8280,Presidencia Roque Sáenz Peña,Chaco,I,Micheal Bartz,24814568370,Distribuidora Sur,Diag. G. Brown N° 757,MI,26-3587418,2024-06-02,2025-05-17,-30.447651,-64.183252,EFE,0.0,KIOSK,5
133,1678,La Punta,San Luis,A,Alan Frank,30078424186,Comercial Oeste,Calle Salta N° 381,DO,38-4523266,2023-07-16,2025-05-17,-39.767298,-69.461492,EFE,7434.08,HORECA,5
138,6842,Presidencia Roque Sáenz Peña,Chaco,A,Katherine Ransom,20758925357,Almacén Sur,Diagonal 9 N° 75,SA,35-3449341,2023-07-26,2025-05-17,-32.215803,-63.015611,EFE,0.0,PETROL,5
146,3328,Santa Lucía,San Juan,A,Greg Nolan,30957955236,Distribuidora Central,Calle Santiago del Estero N° 425,MI,29-5129614,2023-10-03,2025-05-17,-30.381519,-59.49365,EFE,9782.27,PETROL,5
