codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
32,1171,Zárate,Buenos Aires,A,Bettye Cho,34896606982,Almacén Oeste,Avenida Viedma N° 244,SA,26-6237983,2023-11-12,2025-06-01,-22.818748,-65.18188,CEX,0.0,RESTAURANTE,1
35,2992,Cinco Saltos,Río Negro,A,Darnell Flanigan,34874066210,Comercial Norte,Calle San Juan N° 428,VI,38-3003852,2023-06-18,2025-06-01,-31.697429,-58.170269,CEX,0.0,MAYORISTA,1
37,8749,Junín de los Andes,Neuquén,A,Florence Oliver,23186471661,Almacén Central,Diagonal La Rioja N° 754,DO,38-0956969,2024-09-30,2025-06-01,-34.251484,-68.292284,CEX,7191.59,MAYORISTA,1
35,8238,Venado Tuerto,Santa Fe,A,Crystal Seaman,23260722450,Almacén Norte,Av. Omar Nuñez N° 993,MI,38-4560975,2023-10-27,2025-06-01,-39.167877,-69.898864,EFE,0.0,KIOSK,1
32,9330,Rosario,Santa Fe,A,Rebecca Basile,24069942784,Almacén Este,Av. Ciudad Autónoma de Buenos Aires N° 292,DO,38-3967950,2025-05-29,2025-06-01,-53.156518,-67.705129,CEX,0.0,GROCERY,1
27,3931,San Rafael,Mendoza,A,David Cook,20388351578,Almacén Norte,Diagonal 7 N° 52,LU,37-1119721,2024-07-16,2025-06-01,-28.484532,-66.92654,EFE,0.0,SHOPPING,1
26,4949,Godoy Cruz,Mendoza,A,Ashlee Dubois,33740020237,Comercial Central,Diagonal Entre Ríos N° 562,MA,34-4151849,2024-08-09,2025-06-01,-26.972583,-65.399042,CEX,1469.09,TEA,1
36,8881,Tilisarao,San Luis,A,Jack Jeffreys,26257829749,Comercial Central,Avenida J.M. de Rosas N° 97,MA,34-4871202,2024-03-19,2025-06-01,-27.25897,-63.680831,CEX,3451.64,PETROL,1
41,8491,La Plata,Buenos Aires,A,Christopher Moran,23684120237,Comercial Norte,Avenida Rivadavia N° 614,MA,29-3278327,2023-10-13,2025-06-01,-29.671533,-66.014904,EFE,0.0,MAYORISTA,1
33,2213,Villa Ángela,Chaco,I,Pasquale Seligman,30835203534,Distribuidora Norte,Avenida 182 B N° 73,VI,26-5521924,2025-01-11,2025-06-01,-26.689345,-65.038835,CEX,0.0,MAKRO,1
