codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
45,1485,Tinogasta,Catamarca,A,Bettye Cho,34896606982,Almacén Oeste,Avenida Viedma N° 244,MI,26-6237983,2023-11-12,2025-05-20,-22.818748,-65.18188,EFE,3234.18,RESTAURANTE,1
40,2468,Tartagal,Salta,A,Darnell Flanigan,34874066210,Comercial Norte,Calle San Juan N° 428,DO,38-3003852,2023-06-18,2025-05-20,-31.697429,-58.170269,EFE,6304.91,MAYORISTA,1
26,5883,Junín,Buenos Aires,I,Florence Oliver,23186471661,Almacén Central,Diagonal La Rioja N° 754,SA,38-0956969,2024-09-30,2025-05-20,-34.251484,-68.292284,CEX,0.0,MAYORISTA,1
50,6344,Aguilares,Tucumán,A,Crystal Seaman,23260722450,Almacén Norte,Av. Omar Nuñez N° 993,LU,38-4560975,2023-10-27,2025-05-20,-39.167877,-69.898864,EFE,8352.13,KIOSK,1
40,6696,Libertador General San Martín,Jujuy,A,Rebecca Basile,24069942784,Almacén Este,Av. Ciudad Autónoma de Buenos Aires N° 292,LU,38-3967950,2025-05-29,2025-05-20,-53.156518,-67.705129,CEX,7947.32,GROCERY,1
29,9970,9 de Julio,San Juan,A,David Cook,20388351578,Almacén Norte,Diagonal 7 N° 52,DO,37-1119721,2024-07-16,2025-05-20,-28.484532,-66.92654,CEX,0.0,SHOPPING,1
50,1086,La Rioja,La Rioja,A,Ashlee Dubois,33740020237,Comercial Central,Diagonal Entre Ríos N° 562,VI,34-4151849,2024-08-09,2025-05-20,-26.972583,-65.399042,CEX,0.0,TEA,1
37,9838,General Roca,Río Negro,A,Jack Jeffreys,26257829749,Comercial Central,Avenida J.M. de Rosas N° 97,DO,34-4871202,2024-03-19,2025-05-20,-27.25897,-63.680831,CEX,0.0,PETROL,1
29,6837,Chepes,La Rioja,A,Christopher Moran,23684120237,Comercial Norte,Avenida Rivadavia N° 614,VI,29-3278327,2023-10-13,2025-05-20,-29.671533,-66.014904,CEX,0.0,MAYORISTA,1
39,7100,Tandil,Buenos Aires,A,Pasquale Seligman,30835203534,Distribuidora Norte,Avenida 182 B N° 73,VI,26-5521924,2025-01-11,2025-05-20,-26.689345,-65.038835,EFE,7352.33,MAKRO,1
