codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
60,8998,Paraná,Entre Ríos,A,Brian Fulton,23368881720,Almacén Sur,Diagonal Ciudad Autónoma de Buenos Aires N° 999,MA,26-2847127,2025-03-05,2025-05-14,-22.443119,-63.56491,EFE,4820.72,HOTEL,2
69,7562,Diamante,Entre Ríos,A,Kelly Ronn,30887752306,Comercial Sur,Calle Formosa N° 398,MA,29-1166757,2024-10-05,2025-05-14,-31.29122,-68.175239,EFE,8000.66,TEA,2
57,9551,Villa Gobernador Gálvez,Santa Fe,A,Miguel Swank,26542841806,Almacén Central,Diagonal 7 N° 844,MI,26-3877728,2023-12-06,2025-05-14,-25.179475,-57.66905,CEX,0.0,PETROL,2
62,1234,Cerrillos,Salta,A,Helen Laflamme,23159669979,Almacén Sur,Av. San Juan N° 4885,MI,37-0171513,2024-04-18,2025-05-14,-39.184432,-70.157768,CEX,0.0,AIRPORT,2
63,6274,San Martín de los Andes,Neuquén,I,Stephen Jahnke,34797659505,Comercial Este,Avenida Paraná N° 43,DO,29-3516653,2024-08-10,2025-05-14,-31.3388,-58.296764,CEX,0.0,PETROL,2
66,8051,San Miguel de Tucumán,Tucumán,A,Ronda Threet,26951220462,Almacén Central,Diagonal La Rioja N° 617,JU,26-3279831,2024-08-01,2025-05-14,-43.63288,-67.577648,EFE,0.0,HORECA,2
71,5307,Villaguay,Entre Ríos,A,Bessie Reynolds,27036753525,Comercial Oeste,Av. Río Gallegos N° 71,VI,38-3858908,2025-02-09,2025-05-14,-32.139266,-63.316866,EFE,0.0,GROCERY,2
60,1247,Termas de Río Hondo,Santiago del Estero,I,Bonnie Ferreira,24277312418,Almacén Oeste,Av. Formosa N° 368,MI,26-6539566,2023-07-24,2025-05-14,-27.023447,-66.311619,CEX,0.0,GROCERY,2
60,5479,Paraná,Entre Ríos,A,Paul Tsosie,25890997977,Almacén Central,Avenida J.J. Castelli N° 586,SA,34-8621697,2024-06-07,2025-05-14,-34.880863,-69.756215,EFE,0.0,AIRPORT,2
57,4878,Gualeguay,Entre Ríos,A,Anthony Sutton,25180115752,Almacén Central,Av. Pte. Perón N° 473,SA,26-3119422,2025-05-14,2025-05-14,-23.843766,-65.71053,CEX,0.0,HOTEL,2
