codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
66,8456,Añatuya,Santiago del Estero,A,Brian Fulton,23368881720,Almacén Sur,Diagonal Ciudad Autónoma de Buenos Aires N° 999,DO,26-2847127,2025-03-05,2025-05-08,-22.443119,-63.56491,EFE,0.0,HOTEL,2
61,3515,Leandro N. Alem,Misiones,A,Kelly Ronn,30887752306,Comercial Sur,Calle Formosa N° 398,DO,29-1166757,2024-10-05,2025-05-08,-31.29122,-68.175239,CEX,0.0,TEA,2
53,5074,Plottier,Neuquén,I,Miguel Swank,26542841806,Almacén Central,Diagonal 7 N° 844,MI,26-3877728,2023-12-06,2025-05-08,-25.179475,-57.66905,EFE,0.0,PETROL,2
55,6482,San Luis,San Luis,I,Helen Laflamme,23159669979,Almacén Sur,Av. San Juan N° 4885,DO,37-0171513,2024-04-18,2025-05-08,-39.184432,-70.157768,EFE,0.0,AIRPORT,2
67,3457,Villa Regina,Río Negro,A,Stephen Jahnke,34797659505,Comercial Este,Avenida Paraná N° 43,DO,29-3516653,2024-08-10,2025-05-08,-31.3388,-58.296764,EFE,0.0,PETROL,2
69,3937,Concepción,Tucumán,A,Ronda Threet,26951220462,Almacén Central,Diagonal La Rioja N° 617,MI,26-3279831,2024-08-01,2025-05-08,-43.63288,-67.577648,CEX,0.0,HORECA,2
65,9105,Centenario,Neuquén,A,Bessie Reynolds,27036753525,Comercial Oeste,Av. Río Gallegos N° 71,MA,38-3858908,2025-02-09,2025-05-08,-32.139266,-63.316866,EFE,0.0,GROCERY,2
51,9572,Empedrado,Corrientes,A,Bonnie Ferreira,24277312418,Almacén Oeste,Av. Formosa N° 368,JU,26-6539566,2023-07-24,2025-05-08,-27.023447,-66.311619,CEX,9342.73,GROCERY,2
71,9280,Plottier,Neuquén,A,Paul Tsosie,25890997977,Almacén Central,Avenida J.J. Castelli N° 586,JU,34-8621697,2024-06-07,2025-05-08,-34.880863,-69.756215,EFE,6032.02,AIRPORT,2
69,9667,Tandil,Buenos Aires,A,Anthony Sutton,25180115752,Almacén Central,Av. Pte. Perón N° 473,MA,26-3119422,2025-05-14,2025-05-08,-23.843766,-65.71053,CEX,3023.37,HOTEL,2
