codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
65,7869,Tres Arroyos,Buenos Aires,A,Brian Fulton,23368881720,Almacén Sur,Diagonal Ciudad Autónoma de Buenos Aires N° 999,MI,26-2847127,2025-03-05,2025-05-04,-22.443119,-63.56491,EFE,0.0,HOTEL,2
62,6527,Resistencia,Chaco,A,Kelly Ronn,30887752306,Comercial Sur,Calle Formosa N° 398,DO,29-1166757,2024-10-05,2025-05-04,-31.29122,-68.175239,EFE,9310.78,TEA,2
72,2486,Necochea,Buenos Aires,A,Miguel Swank,26542841806,Almacén Central,Diagonal 7 N° 844,VI,26-3877728,2023-12-06,2025-05-04,-25.179475,-57.66905,EFE,0.0,PETROL,2
68,2634,Ushuaia,Tierra del Fuego,I,Helen Laflamme,23159669979,Almacén Sur,Av. San Juan N° 4885,VI,37-0171513,2024-04-18,2025-05-04,-39.184432,-70.157768,CEX,2897.88,AIRPORT,2
64,5163,Santa María,Catamarca,A,Stephen Jahnke,34797659505,Comercial Este,Avenida Paraná N° 43,DO,29-3516653,2024-08-10,2025-05-04,-31.3388,-58.296764,EFE,0.0,PETROL,2
51,7645,Jesús María,Córdoba,A,Ronda Threet,26951220462,Almacén Central,Diagonal La Rioja N° 617,SA,26-3279831,2024-08-01,2025-05-04,-43.63288,-67.577648,CEX,8662.31,HORECA,2
63,1333,Neuquén,Neuquén,I,Bessie Reynolds,27036753525,Comercial Oeste,Av. Río Gallegos N° 71,MI,38-3858908,2025-02-09,2025-05-04,-32.139266,-63.316866,CEX,0.0,GROCERY,2
75,2525,Reconquista,Santa Fe,I,Bonnie Ferreira,24277312418,Almacén Oeste,Av. Formosa N° 368,MA,26-6539566,2023-07-24,2025-05-04,-27.023447,-66.311619,EFE,2848.42,GROCERY,2
57,3936,Río Turbio,Santa Cruz,A,Paul Tsosie,25890997977,Almacén Central,Avenida J.J. Castelli N° 586,VI,34-8621697,2024-06-07,2025-05-04,-34.880863,-69.756215,EFE,0.0,AIRPORT,2
59,9904,Maipú,Mendoza,I,Anthony Sutton,25180115752,Almacén Central,Av. Pte. Perón N° 473,MA,26-3119422,2025-05-14,2025-05-04,-23.843766,-65.71053,CEX,0.0,HOTEL,2
