codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
58,3882,Villa Sanagasta,La Rioja,A,Brian Fulton,23368881720,Almacén Sur,Diagonal Ciudad Autónoma de Buenos Aires N° 999,LU,26-2847127,2025-03-05,2025-05-26,-22.443119,-63.56491,EFE,0.0,HOTEL,2
63,2119,Pirané,Formosa,A,Kelly Ronn,30887752306,Comercial Sur,Calle Formosa N° 398,MI,29-1166757,2024-10-05,2025-05-26,-31.29122,-68.175239,CEX,7816.13,TEA,2
75,9003,Gualeguay,Entre Ríos,I,Miguel Swank,26542841806,Almacén Central,Diagonal 7 N° 844,MA,26-3877728,2023-12-06,2025-05-26,-25.179475,-57.66905,EFE,2516.17,PETROL,2
71,9173,Andalgalá,Catamarca,A,Helen Laflamme,23159669979,Almacén Sur,Av. San Juan N° 4885,MI,37-0171513,2024-04-18,2025-05-26,-39.184432,-70.157768,CEX,0.0,AIRPORT,2
74,5157,Tinogasta,Catamarca,A,Stephen Jahnke,34797659505,Comercial Este,Avenida Paraná N° 43,SA,29-3516653,2024-08-10,2025-05-26,-31.3388,-58.296764,CEX,0.0,PETROL,2
56,7678,Jesús María,Córdoba,A,Ronda Threet,26951220462,Almacén Central,Diagonal La Rioja N° 617,MI,26-3279831,2024-08-01,2025-05-26,-43.63288,-67.577648,EFE,5247.77,HORECA,2
59,2572,Chepes,La Rioja,A,Bessie Reynolds,27036753525,Comercial Oeste,Av. Río Gallegos N° 71,DO,38-3858908,2025-02-09,2025-05-26,-32.139266,-63.316866,EFE,5215.89,GROCERY,2
54,8229,Paraná,Entre Ríos,A,Bonnie Ferreira,24277312418,Almacén Oeste,Av. Formosa N° 368,VI,26-6539566,2023-07-24,2025-05-26,-27.023447,-66.311619,EFE,0.0,GROCERY,2
71,5971,Pocito,San Juan,A,Paul Tsosie,25890997977,Almacén Central,Avenida J.J. Castelli N° 586,DO,34-8621697,2024-06-07,2025-05-26,-34.880863,-69.756215,CEX,0.0,AIRPORT,2
58,5384,Aguaray,Salta,A,Anthony Sutton,25180115752,Almacén Central,Av. Pte. Perón N° 473,MI,26-3119422,2025-05-14,2025-05-26,-23.843766,-65.71053,CEX,0.0,HOTEL,2
