codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio,n_distribuidor
63,9835,Santa Fe,Santa Fe,A,Brian Fulton,23368881720,Almacén Sur,Diagonal Ciudad Autónoma de Buenos Aires N° 999,MI,26-2847127,2025-03-05,2025-05-16,-22.443119,-63.56491,EFE,3733.25,HOTEL,2
71,8876,Mendoza,Mendoza,A,Kelly Ronn,30887752306,Comercial Sur,Calle Formosa N° 398,MA,29-1166757,2024-10-05,2025-05-16,-31.29122,-68.175239,CEX,0.0,TEA,2
57,7364,Chamical,La Rioja,A,Miguel Swank,26542841806,Almacén Central,Diagonal 7 N° 844,JU,26-3877728,2023-12-06,2025-05-16,-25.179475,-57.66905,CEX,2613.11,PETROL,2
75,4860,Comandante Fontana,Formosa,A,Helen Laflamme,23159669979,Almacén Sur,Av. San Juan N° 4885,JU,37-0171513,2024-04-18,2025-05-16,-39.184432,-70.157768,CEX,4026.95,AIRPORT,2
57,2868,Fraile Pintado,Jujuy,A,Stephen Jahnke,34797659505,Comercial Este,Avenida Paraná N° 43,DO,29-3516653,2024-08-10,2025-05-16,-31.3388,-58.296764,EFE,6029.63,PETROL,2
53,9462,Rawson,San Juan,I,Ronda Threet,26951220462,Almacén Central,Diagonal La Rioja N° 617,VI,26-3279831,2024-08-01,2025-05-16,-43.63288,-67.577648,CEX,0.0,HORECA,2
71,5225,Reconquista,Santa Fe,I,Bessie Reynolds,27036753525,Comercial Oeste,Av. Río Gallegos N° 71,SA,38-3858908,2025-02-09,2025-05-16,-32.139266,-63.316866,CEX,5767.65,GROCERY,2
64,1686,Allen,Río Negro,I,Bonnie Ferreira,24277312418,Almacén Oeste,Av. Formosa N° 368,JU,26-6539566,2023-07-24,2025-05-16,-27.023447,-66.311619,EFE,6466.77,GROCERY,2
61,2672,Tolhuin,Tierra del Fuego,A,Paul Tsosie,25890997977,Almacén Central,Avenida J.J. Castelli N° 586,SA,34-8621697,2024-06-07,2025-05-16,-34.880863,-69.756215,CEX,0.0,AIRPORT,2
57,5647,Lago Puelo,Chubut,I,Anthony Sutton,25180115752,Almacén Central,Av. Pte. Perón N° 473,JU,26-3119422,2025-05-14,2025-05-16,-23.843766,-65.71053,CEX,0.0,HOTEL,2
